tag,n,omega_peak,k_peak,k_pred,relative_k_error,dispersion_residual,median_outward_flux,mean_outward_flux,positive_probe_fraction,outgoing_spectral_fraction,outgoing_to_incoming_power_ratio
spp160,3,2.529822128134703,2.3174903755711957,2.3237900077244498,-0.0027109300463095103,0.029238359134875935,8.002550231729918e-07,8.447752574960507e-07,1.0,nan,nan
spp160,5,4.2163702135578385,4.08506778066787,4.096068575814835,-0.002685696038371622,0.08999900512705139,5.073484081047258e-09,1.4494825548663001e-08,1.0,nan,nan
spp160,7,5.902918298980974,5.8133656878735085,5.81759782422646,-0.000727471454854976,0.04922382349940335,2.307876550802156e-09,7.095441981768776e-09,1.0,nan,nan
spp320,3,2.529822128134703,2.3174903755711957,2.3237900077244498,-0.0027109300463095103,0.029238359134875935,7.989814232206014e-07,8.400014004358098e-07,1.0,0.999999999994183,171909552202.11203
spp320,5,4.2163702135578385,4.08506778066787,4.096068575814835,-0.002685696038371622,0.08999900512705139,5.1296404478253635e-09,1.4283491129490978e-08,1.0,0.9999999999997349,3771237306237.1655
spp320,7,5.902918298980974,5.8133656878735085,5.81759782422646,-0.000727471454854976,0.04922382349940335,2.203176735274848e-09,6.4475414979704755e-09,1.0,0.9999999999732083,37325086541.49913
late_spp160,3,2.5298221281347035,2.314664167796109,2.32379000772445,-0.003927136229179996,0.04232979032074624,6.412281372621975e-07,7.268111850149847e-07,1.0,0.9999999999912954,114881507891.81685
late_spp160,5,4.229546370475207,4.119317586755788,4.109630457839245,0.002357177613881142,-0.07971488055552811,1.6874634397003207e-08,2.0482776776942046e-08,1.0,0.9999999999984682,652884673372.7343
late_spp160,7,5.929270612815712,5.845507813586784,5.844334863780481,0.00020069859678516075,-0.013711598704141181,1.0874988454460898e-08,1.1146119204331828e-08,1.0,0.9999999989502828,952637477.5343105
