target_kappaR,actual_kappaR,R,c0_full,A1_full,A1_quadratic,deltaA1_full_minus_quadratic,A2_full,A2_quartic_local,c0_over_A2,deltaA1_over_A2,A2_over_local,c0_over_2A2local,deltaA1_over_4A2local
6.0,5.929535736275306,11.1328125,-0.0003117723099751567,0.01246653651248459,0.01309400198157547,-0.0006274654690908796,-0.0001556207509558618,-0.00016192084812512175,2.003410907993778,4.0320167152312845,0.9610915009264794,0.9627305982681107,0.9687842491505723
6.25,6.2416165645003225,11.71875,-0.00017101431396978248,0.009330506265525253,0.009672777055323068,-0.0003422707897978144,-8.570432142912498e-05,-8.737400733673968e-05,1.9953989614305088,3.9936234730107807,0.9808903590609078,0.9786338018736672,0.9793266905989036
6.5,6.553697392725339,12.3046875,-9.38460848449008e-05,0.00694934367608193,0.007135241561767343,-0.000185897885685413,-4.677808714196025e-05,-4.7106756309660765e-05,2.0061975719550156,3.974037782290191,0.9930228868755052,0.9961000522726994,0.9865776177805339
6.75,6.709737806837847,12.59765625,-6.963155543439422e-05,0.005989068656940105,0.006125903894330832,-0.00013683523739072695,-3.4454874497571626e-05,-3.4587116521832e-05,2.0209493271932204,3.97143334248311,0.9961765524981853,1.0066111667684348,0.9890621938977924
7.0,7.021818635062862,13.18359375,-3.861069737643937e-05,0.004438918105613697,0.004512960872683044,-7.404276706934713e-05,-1.861899432845503e-05,-1.8654798481976927e-05,2.0737262547758246,3.9767328870275813,0.9980807000645711,1.0348730760544682,0.9922750859635728
7.25,7.177859049175371,13.4765625,-2.891713779225302e-05,0.003818331093970049,0.0038727945855943887,-5.446349162433958e-05,-1.3679235019582255e-05,-1.370707338200737e-05,2.1139440729585557,3.981472030151787,0.9979690513321642,1.0548253805298504,0.9933464662090312
7.5,7.489939877400387,14.0625,-1.652839769567519e-05,0.0028218238590205394,0.0028513424442232743,-2.9518585202734874e-05,-7.408719543179716e-06,-7.4130028320582845e-06,2.230938504196832,3.9843032295518532,0.9994221924669926,1.1148247255617154,0.9955002672830081
7.75,7.802020705625403,14.6484375,-9.817511262422985e-06,0.002082868170449854,0.0020989438223658736,-1.6075651916019375e-05,-4.054786255238833e-06,-4.022791453375784e-06,2.421215483242462,3.964611425632963,1.0079533831753074,1.2202361688653383,0.999035874860556
8.0,7.958061119737911,14.94140625,-7.722408227294894e-06,0.0017889003562577522,0.0018007946574500819,-1.1894301192329681e-05,-3.0158738973769283e-06,-2.9687477006975163e-06,2.5605872427263945,3.9438987162808137,1.015874099597059,1.3006171298221958,1.001626139325942
8.25,8.270141947962927,15.52734375,-5.039973592061059e-06,0.0013189474097693925,0.0013254993545754868,-6.551944806094294e-06,-1.6856594292778335e-06,-1.624717261931148e-06,2.989912140330905,3.8868734053243865,1.0375093985732935,1.5510309732508532,1.0081669222721583
8.5,8.426182362075435,15.8203125,-4.198667031578235e-06,0.0011323063114355386,0.001137184802646735,-4.878491211196328e-06,-1.264856498395879e-06,-1.2056025968938565e-06,3.319480934717167,3.856952324143764,1.0491487838983473,1.7413146929161325,1.0116292101073334
8.75,8.73826319030045,16.40625,-3.1124821340737868e-06,0.000834241463514101,0.0008369634268769807,-2.72196336287972e-06,-7.1332784693687e-07,-6.691256262087223e-07,4.3633262705770175,3.815865838643778,1.0660596739936539,2.3257830907696406,1.0169851729870267
9.0,9.050344018525468,16.9921875,-2.506483634712701e-06,0.0006143544491365613,0.0006158866727065013,-1.5322235699400657e-06,-4.003753771030891e-07,-3.764554065270123e-07,6.260334121564446,3.8269675348830132,1.0635399841823243,3.329057826312358,1.0175332478789372
9.25,9.206384432637975,17.28515625,-2.309100478011498e-06,0.0005270986879617846,0.0005282529503373133,-1.1542623755287024e-06,-2.991595328153249e-07,-2.841824347782636e-07,7.718625765594226,3.8583506421011955,1.0527024059342278,4.062707956973481,1.0154237509694504
9.5,9.518465260862992,17.87109375,-2.0395816637579153e-06,0.00038778551314894253,0.0003884484486647462,-6.629355158036736e-07,-1.670830979724818e-07,-1.6453028962059536e-07,12.206989746466334,3.967699449245653,1.0155157348702977,6.198195081468474,1.0073153054862938
9.75,9.6745056749755,18.1640625,-1.946173252180666e-06,0.0003324895846164604,0.00033299626320726827,-5.066785908078926e-07,-1.255800844314302e-07,-1.263562557416931e-07,15.497467301380292,4.034704970154336,0.9938572783301715,7.701135336580323,1.002480225125701
10.0,9.986586503200517,18.75,-1.808932854833029e-06,0.00024416145913635606,0.0002444648182331757,-3.0335909681966297e-07,-7.319791997191672e-08,-7.619513615174663e-08,24.712899704350182,4.144367721597149,0.9606639435112919,11.870395842790042,0.9953361596976064
