omega,kappa,kappaR,R,c0,A1,A2,A3,B1,B2,B3,A1_Manton,B1_M7,A2_quartic,A1_over_Manton,B1_over_M7,B1_over_A1,omega_over_kappa,A2_over_quartic,c0_over_2A2quartic,deltaA1_over_4A2quartic
0.8,0.5999999999999999,5.5,9.166666666666668,-0.001295184394219346,0.04904330510460616,-0.000641719294168844,3.17909687066749e-06,0.06884724570250521,-8.578997469844777e-18,3.546988840895457e-07,0.05296455784249424,0.07061941045665901,-0.0006764188820049483,0.9259645903294598,0.9749054156259004,1.403805179028178,1.3333333333333337,0.9487010360602997,0.9573833823061959,1.4492693958606107
0.8,0.5999999999999999,6.0,10.000000000000002,-0.0004846631250193251,0.030662541002310355,-0.00024099135733415738,7.274063155446964e-07,0.04217636275969828,-7.253372599119406e-18,8.073735338192373e-08,0.03212462820959597,0.04283283761279463,-0.0002488406003097923,0.9544870310172532,0.9846735614616329,1.375501226611336,1.3333333333333337,0.9684567431284804,0.9738425410000364,1.4688993731985438
0.8,0.5999999999999999,7.0,11.66666666666667,-6.669807798709324e-05,0.011617486310795063,-3.32808275549047e-05,3.711875877764378e-08,0.015667870962577667,3.1390826754741117e-18,4.098832413524716e-09,0.011817990273586517,0.015757320364782026,-3.367691312369447e-05,0.9830340050931008,0.9943233113160357,1.3486455282515766,1.3333333333333337,0.988238661680928,0.9902641275658617,1.4884378064507244
0.8,0.5999999999999999,8.0,13.333333333333336,-9.082559951448794e-06,0.00432032745650353,-4.53785617155907e-06,1.8649290614977834e-09,0.005784658161283054,6.093831835887204e-19,2.055421486377725e-10,0.004347595657616548,0.005796794210155399,-4.557674576129988e-06,0.993727981334868,0.9979064206124336,1.338939749248687,1.3333333333333337,0.9956516411516713,0.9964028584902803,1.4957299307760217
0.8,0.5999999999999999,9.0,15.000000000000004,-1.2319932778935722e-06,0.0015956940571878687,-6.158256657645099e-07,9.316119176633765e-11,0.0021308774612746333,3.288690394831977e-19,1.0260486968302842e-11,0.0015993910609633654,0.002132521414617821,-6.168141796608608e-07,0.9976884929110021,0.9992291034772646,1.3353922399322158,1.3333333333333337,0.9983973878536736,0.9986745753566753,1.4984268753068044
0.9,0.4358898943540673,5.5,12.617865362880899,-0.00022882681888658154,0.010967096029623853,-0.00011397928711117204,2.2662950975070662e-07,0.023588859733966898,-3.8725875108053364e-18,2.1245668757946426e-08,0.01165688485361404,0.024068455140028516,-0.00011762721995361544,0.9408256294325212,0.980073693834051,2.1508756438577428,2.0647416048350564,0.968987341162344,0.9726780033431719,1.4660484713108817
0.9,0.4358898943540673,6.0,13.764944032233709,-8.510026633813107e-05,0.006814211060478401,-4.245180351697614e-05,5.13978741414515e-08,0.01442093928159895,1.0109504648346754e-18,4.8160615261180265e-09,0.0070702580604567284,0.01459825597434542,-4.327263594308639e-05,0.9637853388392746,0.98785357010741,2.1163035828518217,2.0647416048350564,0.9810311433953357,0.9833034720840415,1.4792662522054894
0.9,0.4358898943540673,7.0,16.059101370939327,-1.164015519355732e-05,0.0025660445733001105,-5.8151097004082585e-06,2.6000285723483155e-09,0.0053462835430634695,-5.797937880323247e-19,2.4350744461088117e-10,0.002601002584218707,0.005370398249919862,-5.856314441752421e-06,0.9865597938538391,0.9955096985858074,2.0834725938481187,2.0647416048350564,0.992964049018544,0.9938123464280858,1.4923212912443922
0.9,0.4358898943540673,8.0,18.353258709644944,-1.5815138834015418e-06,0.0009521089589521368,-7.90508262747099e-07,1.3021043966190174e-10,0.0019723896521502637,-1.2359319410701697e-19,1.219267209765845e-11,0.0009568553771678553,0.0019756591070486107,-7.925659736972294e-07,0.9950395657181056,0.9983451320692509,2.071600769644073,2.0647416048350564,0.9974037354385384,0.9977174997962382,1.4971681769206502
0.9,0.4358898943540673,9.0,20.647416048350564,-2.143439679932268e-07,0.0003513642959676395,-1.0715957830802319e-07,6.496833827645422e-12,0.0007263616020547657,5.062343795005059e-20,6.083096569745661e-13,0.0003520074214344003,0.0007268043682463137,-1.0726214053401628e-07,0.9981729775351323,0.9993908041683673,2.0672607046040423,2.0647416048350564,0.9990438170869752,0.9991594747507926,1.4989572825017845
