target_kappaR,actual_kappaR,R,delta,delta_over_pi,mean_midpoint_power,mean_left_boundary_power,Eint_change_end,power_impulse_end,end_relative_error,rms_relative_error,max_boundary_power_fraction
6.0,5.929535736275306,11.1328125,0.0,0.0,2.0920184055678496e-15,8.705773482295292e-29,-0.00046842053561507724,1.5530748969471293e-14,30160846495.6442,12304769347.151606,1.2341838859831316e-13
6.0,5.929535736275306,11.1328125,1.5707963267948966,0.5,0.01935642202713214,-2.760083927382041e-29,0.1435790456852672,0.1436984161565955,0.0008307013711148573,0.0005659941126798487,9.233025944036918e-26
6.0,5.929535736275306,11.1328125,3.141592653589793,1.0,7.5898754249642e-05,3.1072213805840916e-29,0.0004783319850522605,0.0005634579964543247,0.15107783000283456,0.2016195744663948,4.1108767396004925e-24
7.0,7.021818635062862,13.18359375,0.0,0.0,-7.600758037353357e-17,4.5744759911820726e-30,0.00013915050291288256,-5.642659010153218e-16,246604486755.3824,51375305591.42396,4.566992872272759e-13
7.0,7.021818635062862,13.18359375,1.5707963267948966,0.5,0.006342344307256829,-2.6696850850078464e-29,0.04708466752457484,0.04708436457911007,6.434099036435091e-06,0.0006173810819004273,1.8704782905483674e-25
7.0,7.021818635062862,13.18359375,3.141592653589793,1.0,6.372167373697178e-05,3.300565526397028e-30,0.0003206988877965944,0.00047305765383783786,0.32207229881005456,0.2586610358907554,3.135218265457122e-24
8.0,7.958061119737911,14.94140625,0.0,0.0,-1.5496071782114582e-16,-3.7978639839971107e-29,0.00013116076230266366,-1.150399060640935e-15,114013273125.1875,47861636533.92764,1.4488485009916815e-12
8.0,7.958061119737911,14.94140625,1.5707963267948966,0.5,0.0023849770824487596,4.3969050343346934e-29,0.017717734097491847,0.017705618777957715,0.0006842641133341569,0.0003771923940631799,4.722339432231213e-25
8.0,7.958061119737911,14.94140625,3.141592653589793,1.0,4.388364787950837e-05,-2.667087747793483e-29,0.00021852278853228685,0.0003257839019329028,0.32924006608131,0.21169011057390288,7.28918232212966e-24
