spp,n,x,amp,amp_over_n1
160,1,0.0,1.6803802355842867,1.0
160,1,4.98046875,0.2905172182082725,1.0
160,1,7.03125,0.09915833256472953,1.0
160,1,8.935546875,0.03845295369354367,1.0
160,2,0.0,0.0017590718912170065,0.0010468296722172276
160,2,4.98046875,0.0016797095013876067,0.005781789842774204
160,2,7.03125,0.0017849561825662667,0.01800107097808513
160,2,8.935546875,0.0017790709850197602,0.04626617240377219
160,3,0.0,0.03546122968038905,0.021103098530588695
160,3,4.98046875,0.00033514595011939957,0.0011536181992460516
160,3,7.03125,0.00046741043077934646,0.0047137786476413954
160,3,8.935546875,0.0010906829403818695,0.028364087426787123
160,4,0.0,0.0004261874812311614,0.00025362562127670543
160,4,4.98046875,0.0003612637412102283,0.001243519208390731
160,4,7.03125,0.00038620748652407316,0.00389485660493495
160,4,8.935546875,0.00037800842430731014,0.009830413219226343
160,5,0.0,0.002203860824090435,0.0013115250807053966
160,5,4.98046875,0.00014028488604250658,0.00048287976495057865
160,5,7.03125,0.00015006647140613393,0.0015134025303236327
160,5,8.935546875,0.00015122580849453635,0.003932748826000523
160,6,0.0,0.00012625203327875593,7.513301490055713e-05
160,6,4.98046875,2.933539500635507e-05,0.00010097644190343465
160,6,7.03125,4.616986932761248e-05,0.0004656176453700779
160,6,8.935546875,6.472264742899253e-05,0.0016831645221537194
160,7,0.0,0.00038934515175470947,0.00023170062555474529
160,7,4.98046875,0.0001126062567847144,0.0003876061373546084
160,7,7.03125,0.0001259123682212213,0.0012698112701625657
160,7,8.935546875,0.00013495547354507506,0.00350962567454823
160,8,0.0,0.00014452413988627537,8.600680776040117e-05
160,8,4.98046875,0.00015977939395654618,0.0005499825275140834
160,8,7.03125,0.0001744633932093616,0.0017594425873939915
160,8,8.935546875,0.0001801354904962482,0.004684568367149733
320,1,0.0,1.6803967171015135,1.0
320,1,4.98046875,0.29051193942154757,1.0
320,1,7.03125,0.0991552352296818,1.0
320,1,8.935546875,0.03845523452610371,1.0
320,2,0.0,0.0017393533766578565,0.0010350849647326355
320,2,4.98046875,0.0016506328418110809,0.005681807243783977
320,2,7.03125,0.0017535739936944189,0.017685137750240467
320,2,8.935546875,0.0017474607532072851,0.04544142753884638
320,3,0.0,0.0354259324427837,0.021081886248795617
320,3,4.98046875,0.00031105986918493207,0.0010707300698356787
320,3,7.03125,0.0004290932877212788,0.004327489988071059
320,3,8.935546875,0.001047832441399888,0.027248109504796062
320,4,0.0,0.00038796146735900445,0.0002308749257902576
320,4,4.98046875,0.00031039104719540387,0.0010684278512388804
320,4,7.03125,0.0003317626034191303,0.003345890942123631
320,4,8.935546875,0.00032391415775525647,0.008423148675257229
320,5,0.0,0.002219001958420176,0.0013205226693418523
320,5,4.98046875,8.415518433317186e-05,0.00028967891819089205
320,5,7.03125,9.207653153271508e-05,0.0009286098844849724
320,5,8.935546875,9.760721628864787e-05,0.0025382036409735413
320,6,0.0,0.00012576544269573403,7.484270911494317e-05
320,6,4.98046875,7.431162753488284e-05,0.00025579543368457877
320,6,7.03125,8.724005384857126e-05,0.0008798330581989909
320,6,8.935546875,0.0001004965072439297,0.00261333752042812
320,7,0.0,0.0004193340295777379,0.0002495446612756062
320,7,4.98046875,0.00016931424180450296,0.0005828133678141861
320,7,7.03125,0.00018506886192862652,0.001866455780170715
320,7,8.935546875,0.0001918009301278944,0.004987641669372695
320,8,0.0,0.00018302713427788988,0.00010891900252792099
320,8,4.98046875,0.0002149317343868532,0.0007398378697096381
320,8,7.03125,0.000232688101023508,0.0023467051485936423
320,8,8.935546875,0.00023702185179189263,0.006163578371391816
