window,mean_abs_A1q_Manton_error,mean_abs_B1q_Manton_error,mean_abs_M7_ratio_error,mean_abs_c0_quartic_error,mean_abs_dA1_quartic_error,mean_abs_A2_quartic_error,max_abs_B2_over_B1
6-8,0.00609836750388489,0.006105676942133366,7.395740639154491e-06,0.002330648695416595,0.00203926229673701,0.0034921848596686142,4.242213087482445e-16
7-8,0.0030758277649021587,0.0030773013462510462,1.4800652858720786e-06,0.0011763624909301301,0.0010293059420101447,0.001763777483990439,2.3044042778727176e-16
