w,age_T0,omega,alpha,kappa_core,kappa_tail_global,kappa_tail_over_core,tail_R2,actual_kappaR,A1_over_local,A2_over_local,R1_corrected,R2_leading,lambda_real_over_kappa,lambda_imag_over_kappa,lambda_mismatch_over_kappa
5,20.0,0.9218046309770248,6.744692160336044e-05,0.38765477207086096,0.4131852894104216,1.065858901215574,0.9982691987641604,7.041385508318373,0.9974337553264242,0.9652328892908892,1.060637059652215,0.5392928962448136,1.5445662441768246,-0.058984049100173755,0.54775132345354
5,40.0,0.9304651623640859,-1.4810904425500884e-05,0.3663803783321033,0.28867284379632996,0.7879047592845275,0.9983213647737647,7.084308096655904,0.9652094258046676,0.9531364046381242,1.4250794217660339,10.26570639767766,0.6605100584973156,0.029168922874129186,0.34074073199888055
5,80.0,0.9293322393082143,2.2572539497424003e-05,0.3692446194359234,0.31797332435093006,0.8611454510472815,0.9996037089628274,6.9233366144235635,0.9728580984826137,0.9924797319192092,1.1664730129017737,5.757756702613596,0.7708345627143706,0.03961843471826665,0.2325648684041493
8,20.0,0.9656630318380436,0.00016138332776212416,0.2597978232036552,0.06641554788702987,0.25564320388845907,0.9533338416694442,7.002363203536019,0.9157366321191999,1.0212934791956145,1.4920518450514462,23.013216675272997,0.1630580540040204,0.6133073027351573,1.037601883458107
8,40.0,0.9659746661232423,-0.00013023250625208396,0.25863670352076956,0.04421168803893435,0.170941275685506,0.9274875215980258,6.971067399583242,0.9331542179923472,1.0057604482881046,1.1628868022030636,13.350909246039485,0.10587569474512844,-0.5500844570335727,1.049786255919474
8,80.0,0.9654169832283871,8.681299481511228e-05,0.2607106604920485,0.022170785523322904,0.08503981187987937,0.8836274431433918,7.026967021074745,0.987424637072611,1.0229245385275336,0.9077627358919768,1.9857397325643702,0.15814017618959106,1.0455009022016504,1.342311476316342
