kappaR_min,kappaR_max,A1_exponent,A1_exponent_over_kappa,A1_R2,A2_exponent,A2_exponent_over_kappa,A2_R2,ratio_exponent,ratio_exponent_over_kappa,ratio_R2
6,10,0.5188397465760016,0.9741311753703138,0.9999725275902704,1.0070759092853718,1.8908035586583238,0.9997481113896662,0.48823616270937037,0.9166723832880104,0.9985594005404085
6.5,9,0.5170700838511756,0.9708086010272332,0.999985952760859,1.0231077693608144,1.9209036710759364,0.9997961559569811,0.5060376855096392,0.950095070048704,0.998950528070736
7,9,0.5187426471433925,0.9739488693981141,0.9999953735257252,1.0133162424815143,1.9025198991106067,0.9997894057416961,0.4945735953381223,0.9285710297124935,0.9989791739371111
7,8.5,0.518200502735978,0.9729309832930106,0.9999961637766068,1.0208242538481984,1.91661632866441,0.9998431977080747,0.502623751112221,0.9436853453714004,0.9992490339269201
7,8,0.5170627417576491,0.9707948161114788,0.9999976586105881,1.0361882123315553,1.9454624435476706,0.999960333315143,0.5191254705739072,0.9746676274361936,0.9998025155303021
