case,b,w,omega,kappa,kappa_tail,kappa_tail_over_kappa,tail_R2,center_fit_rms,actual_kappaR,A1_over_local,A2_over_local,R1_leading,R1_corrected,R2_leading,mu
b1_w3,1.0,3.0,0.846287472488187,0.5327264907150349,0.5221383995533299,0.9801247143773656,0.9999780030451106,0.03810105911015349,7.023249633450167,0.9835842885200001,0.9988737469950495,2.4158520820260514,1.321084353159188,5.693469513879965,2.92
b1_w5,1.0,5.0,0.9254870535021074,0.37877924151144754,0.3907446546494627,1.0315894109990542,0.9992095920295758,0.02609900500774053,6.9911402974280845,0.994134088590412,0.920172391831355,1.3992900787761653,0.9861494350821978,1.0283444004920688,2.92
b1_w6,1.0,6.0,0.9333785511984014,0.3588934105870058,0.20580071321852655,0.573431295051974,0.9919605501841324,0.001225735475283961,7.044685110155094,0.907160665471429,1.0065095612977741,1.760165568461149,1.2790886939040178,26.127603437516377,2.92
b1_w8_age40,1.0,8.0,0.959815123292523,0.28063308625135197,0.06029089029319288,0.21483885274736533,0.9869865878598383,0.0006000551095851978,6.988421581454566,0.8483211225283679,0.9846114388423697,3.0315046756110116,2.464709298041864,73.13203102754488,2.92
b1_w8_age80,1.0,8.0,0.9646219261549003,0.26363713619520707,0.3506063417282252,1.3298822267156734,0.9949759454676902,0.01016748851309051,6.951369802022061,0.999511145517032,0.977822838886177,0.4463156372128151,0.37101660862016533,0.027949635621598943,2.92
