period,def_c0,def_A1,def_A2,def_A3
1,5.1595602362570085e-05,8.476401777237505e-05,2.702665973595804e-05,-1.2013965734934065e-07
2,7.709383456251822e-05,0.0001004992121217075,5.202458936538372e-05,-2.405303825028584e-06
3,0.00010143994677377662,9.661871137809612e-05,0.00014977431523310688,2.0556039533711056e-06
