band,omega_core,omega_peak,k_peak,k_KG,relative_k_error,peak_power,integrated_shell_power
near_threshold,0.844768514272101,1.042248816834445,-0.19857968378246593,0.29373899331345277,-0.3239587242318934,3858943.705964887,9857599.438418444
n2,0.844768514272101,1.9423727950096479,-1.6548306981872163,1.6651762894040953,-0.006212910478434305,0.0005978516413394794,1.1566871339612587e-05
n3,0.844768514272101,2.5108721496466178,-2.3167629774621026,2.303145447398194,0.0059125792855558214,578.1859865864761,653.3261713071151
