quantity,SSF4,ETDRK4,relative_difference
omega,0.8463557896693058,0.8463557536088063,4.2606785367941074e-08
kappa,0.5326179468373609,0.5326180041392419,1.0758533646526271e-07
alpha_chirp,2.302706949162209e-05,2.3027132962921867e-05,2.756377653675872e-06
CU_full_relative_L2,0.0,0.0,2.152628874424256e-06
CV_full_relative_L2,0.0,0.0,2.1712845002969697e-06
U1_complex_relative_L2,0.0,0.0,2.1500465828887963e-06
U3_complex_relative_L2,0.0,0.0,6.359494603286623e-06
U5_complex_relative_L2,0.0,0.0,1.0094923026853255e-05
U7_complex_relative_L2,0.0,0.0,8.480376384480391e-06
