seed,age_window,branch_power_fraction_of_lowband,branch_peak_omega,branch_peak_kbin,branch_peak_kKG,branch_peak_rel_k_error,lowband_total_power
SG,30-50T0,0.03012449293550766,1.0405910317596507,-0.25800428088428656,0.2878014860604693,-0.10353388227440254,509690.3372959171
GSL_e3,30-50T0,0.0011014253812451408,1.0405910317596507,-0.25800428088428656,0.2878014860604693,-0.10353388227440254,23913.825367041623
