tag,n,omega_target,k_target,outgoing_power,incoming_power,outgoing_fraction,out_in_ratio
spp320,3,2.5345187812319283,2.3289021989807512,92188.70488226977,5.362628411356956e-07,0.999999999994183,171909552202.11203
spp320,5,4.2241979687198805,4.104125787416507,0.6364011011981354,1.6875127432198598e-13,0.9999999999997349,3771237306237.1655
spp320,7,5.913877156207833,5.828717098874918,1.030502574901416e-05,2.7608846231492933e-16,0.9999999999732083,37325086541.49913
late_spp160,3,2.5344495378580305,2.328826841984776,12117.74389069834,1.0548036940905702e-07,0.9999999999912954,114881507891.81685
late_spp160,5,4.224082563096718,4.104007005337313,0.0640379339222425,9.808460289231358e-14,0.9999999999984682,652884673372.7343
late_spp160,7,5.913715588335405,5.828553170360649,7.717254565298557e-07,8.100935295211089e-16,0.9999999989502828,952637477.5343105
