age_T0,omega_core,kappa_core,target_x_kR7_half,lambda_real_over_kappa,lambda_imag_over_kappa,lambda_mismatch_over_kappa,kappa_tail_global,kappa_tail_over_core,tail_R2,tail_rmin,tail_rmax,seed
20.0,0.9656704546133716,0.25977023133300725,13.4765625,0.16130189367023515,0.6131253449108672,1.0389115468283157,0.11810632266022396,0.45465687909720465,0.974846773643173,21.38671875,40.13671875,SG
40.0,0.9659792917736567,0.25861942669580057,13.4765625,0.1056665875864767,-0.5504458299563033,1.0501537336387947,0.07260955639174352,0.2807583224486459,0.9766611019987758,24.90234375,56.25,SG
80.0,0.9654137884617386,0.2607224904912373,13.4765625,0.15531624776264022,1.0440665726450198,1.3429689681480002,0.022163610821588176,0.0850084347530927,0.8969383413565402,9.66796875,79.98046875,SG
20.0,0.9922822077160777,0.12400008165362984,28.125,0.9994479391337777,-6.856073368645837e-05,0.0005563018732825433,0.12381511915043446,0.99850836789195,0.9999984635459939,20.21484375,38.671875,GSL_e3
40.0,0.9922831396324188,0.12399262397912915,28.125,0.9979405862458851,0.0015539917759800532,0.0025799371020338887,0.1237261293353771,0.997850721799412,0.9999971973510362,20.21484375,38.671875,GSL_e3
80.0,0.9922827795088436,0.1239955059274477,28.125,0.9976789940932318,-0.0011313324596072263,0.0025820498743080013,0.12358465839746956,0.9966865933817107,0.999999025347346,20.21484375,38.671875,GSL_e3
