kappaR,omega,kappa,mean_exact,mean_Manton,mean_relative_error,instantaneous_relative_RMS_error,max_abs_error_over_mean_force
6.0,0.9,0.4358898943540673,0.006686710331772396,0.0070702580604567284,-0.054248052249956435,0.022411576646547745,0.16552134043471686
7.0,0.9,0.4358898943540673,0.002548591907375157,0.002601002584218707,-0.020150182534052874,0.00831946717308522,0.06147123726433419
8.0,0.9,0.4358898943540673,0.0009497370669968824,0.0009568553771678553,-0.007439274879806779,0.0030707723502317037,0.022693221467186636
9.0,0.9,0.4358898943540673,0.0003510427989178112,0.0003520074214344003,-0.0027403471002352964,0.0011310610414719052,0.008359131329315027
