case,b,w,omega,kappa,kappa_tail,kappa_tail_over_kappa,tail_R2,center_fit_rms,actual_kappaR,A1_over_local,A2_over_local,R1_leading,R1_corrected,R2_leading,mu
b0.5_w3,0.5,3.0,0.9110398667861295,0.4123182764883355,0.38839308750463375,0.9419739789672442,0.9999934753869777,0.00782988871604698,7.006189463766638,0.9863688079138306,1.0033472637117826,1.3785321125523704,1.056437566343779,2.6391835064302676,1.7933884297520661
b1_w3,1.0,3.0,0.846287472488187,0.5327264907150349,0.5221383995533299,0.9801247143773656,0.9999780030451106,0.03810105911015349,7.023249633450167,0.9835842885200001,0.9988737469950495,2.4158520820260514,1.321084353159188,5.693469513879965,2.92
b1.5_w3,1.5,3.0,0.7536044652124279,0.6573281600630622,0.6522597331869436,0.9922893507625897,0.9997577924385506,0.1130700592747192,6.932757938165109,0.9527140269872606,0.9964877988721941,5.977507775444413,2.344586947712928,39.38885447322902,3.5861224489795918
b2_w3,2.0,3.0,0.687201835639448,0.7264665423085725,0.6376226042493964,0.8777040195452815,0.9999172693195001,0.17948480147091891,7.023455828959833,0.8525625088689056,0.6014141086928403,15.96814513635617,5.186646653293924,304.38203436779986,3.938775510204082
b2_w5,2.0,5.0,0.8154812639203082,0.578783472634574,0.3723800087993737,0.6433839707003571,0.9999336587497721,0.15910365375633786,6.952184290434824,0.7986586821843864,0.7992095301261395,8.012565544388677,3.454508586484013,242.95141162330216,3.938775510204082
b1_w5,1.0,5.0,0.9254870535021074,0.37877924151144754,0.3907446546494627,1.0315894109990542,0.9992095920295758,0.02609900500774053,6.9911402974280845,0.994134088590412,0.920172391831355,1.3992900787761653,0.9861494350821978,1.0283444004920688,2.92
b1_w6,1.0,6.0,0.9333785511984014,0.3588934105870058,0.20580071321852655,0.573431295051974,0.9919605501841324,0.001225735475283961,7.044685110155094,0.907160665471429,1.0065095612977741,1.760165568461149,1.2790886939040178,26.127603437516377,2.92
b1_w8_age40,1.0,8.0,0.959815123292523,0.28063308625135197,0.06029089029319288,0.21483885274736533,0.9869865878598383,0.0006000551095851978,6.988421581454566,0.8483211225283679,0.9846114388423697,3.0315046756110116,2.464709298041864,73.13203102754488,2.92
b1_w8_age80,1.0,8.0,0.9646219261549003,0.26363713619520707,0.3506063417282252,1.3298822267156734,0.9949759454676902,0.01016748851309051,6.951369802022061,0.999511145517032,0.977822838886177,0.4463156372128151,0.37101660862016533,0.027949635621598943,2.92
