omega,kappa,kappaR,A2_direct_quartic,def_c0,def_A1,def_A2,def_A3,def_A2_over_A2direct,def_c0_over_2A2def,def_A1_over_4A2def,sup_A1,sup_A2,full_A1,full_A2,total_A2_over_direct
0.8,0.5999999999999999,7.0,-3.348575885630416e-05,0.0004282033682430208,0.0005636146703236198,0.00030403452746169954,-5.411508558121476e-06,-9.079517318582758,0.7042018744021817,0.463446269597308,0.01161735662504212,-3.3275282265363165e-05,0.012180971295365745,0.0002707592451963372,-8.08580287393914
0.9,0.4358898943540673,7.0,-5.83002240702362e-06,5.1595602362570085e-05,8.476401777237505e-05,2.702665973595804e-05,-1.2013965734934065e-07,-4.635772875143349,0.9545316155722329,0.7840778198313519,0.0025660445142187144,-5.815208005644769e-06,0.0026508085319910894,2.1211451730313346e-05,-3.638313929078422
0.95,0.31224989991991997,7.0,-1.2372226301563696e-06,1.0256137135201191e-05,1.6105955656680448e-05,5.219911273933108e-06,3.7148332055854216e-09,-4.219055767896337,0.9824053127509751,0.7713711407849708,0.0006073019450714902,-1.2357645501429612e-06,0.0006234079007281712,3.984146723790077e-06,-3.2202342785198894
0.98,0.1989974874213242,7.0,-1.8027052285069798e-07,1.4546481137509692e-06,2.222099459658391e-06,7.317667187694173e-07,2.8073382253249955e-10,-4.05926996381696,0.9939288549479215,0.7591556853648681,9.421024141613834e-05,-1.8018929736313728e-07,9.643234087579679e-05,5.515774214062707e-07,-3.0597205393534757
