tag,target_kappaR,actual_kappaR,R,omega,kappa,a1_mid,a3_mid,A3_full,A3_fundamental_exact,A3_sextic_direct,A3_quartic_via_u3,A3_quadratic_u3,A3_order6_sum,A3_asym_local,full_over_order6,full_over_asym_local,order6_over_asym_local,A3_over_A1,phase_fit_rms
spp160,6.0,5.930744163977541,11.1328125,0.8462874708448075,0.5327264933257019,0.21337531115072705,0.0010192035226541255,1.5639151543355886e-06,1.4528743501803888e-06,1.6180041285151336e-06,-1.0608995786674626e-06,1.0597941400722664e-06,1.61689868991994e-06,1.7228764237789615e-06,0.9672313819569148,0.9077349557696617,0.9384879075502295,0.00012546922309145716,3.072842722264633e-08
spp160,6.25,6.2428885936605685,11.71875,0.8462874708448075,0.5327264933257019,0.18287880148237207,0.0011656253204440912,6.974399804701138e-07,5.921610136310167e-07,6.413495908859723e-07,-7.453773657400358e-07,7.918744909719857e-07,6.87846716117924e-07,6.829192027784047e-07,1.013946805483542,1.021262804783688,1.0072153679666234,7.476201305728465e-05,3.0680842864067545e-08
spp160,6.5,6.555033023343597,12.3046875,0.8462874708448075,0.5327264933257019,0.15670667771034896,0.0011681147362369178,1.6129862415377984e-07,2.3934332275044144e-07,2.5388651899280734e-07,-4.247803374638305e-07,3.21494420133195e-07,1.506006016621708e-07,2.703423867585789e-07,1.071035722125513,0.59664570579464,0.5570735816454122,2.3215449262059826e-05,3.0424558269693213e-08
spp160,6.75,6.7111052381851115,12.59765625,0.8462874708448075,0.5327264933257019,0.14505895622724968,0.001117392934040826,-5.036256078181516e-08,1.51834706527402e-07,1.5972831486813904e-07,-2.9759664039889053e-07,7.993182761015802e-08,-5.7936497920593053e-08,1.7008123962502304e-07,0.8692717473334577,-0.296108852997833,-0.34064014378261387,-8.410940297452393e-06,3.028754240141648e-08
spp160,7.0,7.02324966786814,13.18359375,0.8462874708448075,0.5327264933257019,0.12431158284145576,0.0009285051137237849,-3.586300794686812e-07,6.094658494720622e-08,6.326801350686061e-08,-1.2699892591817154e-07,-2.9777411674869454e-07,-3.615050291600054e-07,6.736878289076588e-08,0.9920472760835322,-5.323386650018254,-5.366061455290982,-8.08123607599413e-05,3.013699114968862e-08
spp160,7.25,7.1793218827096545,13.4765625,0.8462874708448075,0.5327264933257019,0.11509297117837698,0.0008022018510536353,-4.3649971013121523e-07,3.8589333876472086e-08,3.984808280564963e-08,-7.904960353374067e-08,-3.989537401088316e-07,-4.381552608369226e-07,4.2430869729392795e-08,0.9962215432434952,-10.28731470542642,-10.326332305496035,-0.00011434702166525655,3.016409463773553e-08
spp160,7.5,7.491466312392682,14.0625,0.8462874708448075,0.5327264933257019,0.09869780973771544,0.0005414597857819406,-4.015628931364726e-07,1.5476764138261083e-08,1.5847461720164605e-08,-3.4288532206334685e-08,-3.8371703364272207e-07,-4.021581041288922e-07,1.6874628249229295e-08,0.9985199577322732,-23.796843830015217,-23.832116369571565,-0.0001423478146041132,3.045142033973727e-08
spp160,7.75,7.803610742075711,14.6484375,0.8462874708448075,0.5327264933257019,0.08471013440924753,0.0004408752925965561,-1.241440018555867e-07,6.2249984990102096e-09,6.334711575392147e-09,-2.5656637969317955e-08,-1.0509779221638225e-07,-1.2441971861030803e-07,6.745301221634498e-09,0.9977839786345691,-18.404515643780922,-18.445391024384687,-5.96215787423955e-05,3.097704725541652e-08
spp160,8.0,7.959682956917225,14.94140625,0.8462874708448075,0.5327264933257019,0.07851328098068762,0.0005107242052677317,7.59672760764143e-08,3.955943764297044e-09,4.015812057321968e-09,-2.5844618747865038e-08,9.761326606359318e-08,7.57844593730501e-08,4.276100285502187e-09,1.0024123244379732,17.765550619562394,17.722797482087103,4.2480125687008097e-05,3.128074552034393e-08
spp160,8.25,8.271827386600254,15.52734375,0.8462874708448075,0.5327264933257019,0.06752807523499176,0.0007674479799388013,4.952735590180642e-07,1.6076413827250832e-09,1.6256267894739769e-09,-2.5737565693056643e-08,5.193597999471836e-07,4.952478610436007e-07,1.7309931539040532e-09,1.0000518891175205,286.12103860782605,286.106192809964,0.00037564144927547876,3.18581760860142e-08
spp160,8.5,8.427899601441768,15.8203125,0.8462874708448075,0.5327264933257019,0.06267357974215691,0.0009013443685924028,6.680650861022358e-07,1.0291000331820675e-09,1.0390145457899147e-09,-2.4081904529905538e-08,6.911450408931096e-07,6.681021509089941e-07,1.1063591454167928e-09,0.9999445222460249,603.8410663207915,603.8745679255027,0.0005902213193155779,3.209005296050689e-08
spp160,8.75,8.740044031124796,16.40625,0.8462874708448075,0.5327264933257019,0.05409332556512774,0.0011182388705936778,8.436672188604299e-07,4.264541228218393e-10,4.2951339505920894e-10,-1.782578723655346e-08,8.611765315247931e-07,8.437802576832989e-07,4.573526661664798e-10,0.9998660328659746,1844.6754141219517,1844.92257311157,0.0010116830516803642,3.23609321252547e-08
spp160,9.0,9.052188460807825,16.9921875,0.8462874708448075,0.5327264933257019,0.0468459974169687,0.0012299994821788028,7.366740824867407e-07,1.802270333544433e-10,1.8119639863319723e-10,-1.023455046457068e-08,7.468517008332662e-07,7.367983467673286e-07,1.929407952532732e-10,0.9998313456034027,3818.135410500974,3818.779464447289,0.001199552954607431,3.2341274002456183e-08
spp320,6.0,5.929535736275306,11.1328125,0.8463557896693058,0.5326179468373609,0.2133674588443074,0.0009941497394104284,1.564797289588699e-06,1.4525647006613317e-06,1.6176469017493728e-06,-1.0339041313247827e-06,1.0375990809540095e-06,1.6213418513786031e-06,1.7224793937981364e-06,0.9651248367259346,0.9084563189683552,0.941283743199667,0.00012551980961365134,3.040670468608517e-08
spp320,6.25,6.2416165645003225,11.71875,0.8463557896693058,0.5326179468373609,0.182872354323776,0.001139094862912598,7.011732871419378e-07,5.920390160770535e-07,6.412139430770447e-07,-7.278301959188293e-07,7.798632384641954e-07,6.932469856224097e-07,6.827681632943772e-07,1.0114335895920437,1.0269566228143319,1.0153475555706521,7.514847181794006e-05,3.0381958452172604e-08
