delta,delta_over_pi,F_evolved_superposition,F_full_pair,DeltaF_deformation
0.0,0.0,-0.004161174185872126,-0.004264379778389241,-0.00010320559251711468
0.39269908169872414,0.125,-0.003854564333776479,-0.003953667993068079,-9.910365929160017e-05
0.7853981633974483,0.25,-0.0029724591857209614,-0.003062929470588715,-9.047028486775356e-05
1.1780972450961724,0.375,-0.0016390151942417162,-0.0017258888513353304,-8.687365709361423e-05
1.5707963267948966,0.5,-5.9220784736739286e-05,-0.00015469571185629675,-9.547492711955746e-05
1.9634954084936207,0.625,0.0015250335111367894,0.0014121940739159555,-0.00011283943722083397
2.356194490192345,0.75,0.002874282657878704,0.002743624578494162,-0.00013065807938454198
2.748893571891069,0.875,0.00378005467727984,0.0036361027268758672,-0.00014395195040397277
3.141592653589793,1.0,0.004098971635248203,0.0039488499736288355,-0.0001501216616193674
3.5342917352885173,1.125,0.0037803954228012074,0.0036328249030187663,-0.00014757051978244113
3.9269908169872414,1.25,0.002876394660570844,0.0027394352608010437,-0.00013695939976980046
4.319689898685965,1.3749999999999998,0.0015307769659208248,0.0014106104545385492,-0.00012016651138227561
4.71238898038469,1.5,-4.8517789716506025e-05,-0.00015032501987688034,-0.00010180723016037432
5.105088062083414,1.6250000000000002,-0.0016227334983364816,-0.0017131788035942594,-9.04453052577778e-05
5.497787143782138,1.75,-0.002950613003847272,-0.0030412460483161354,-9.063304446886361e-05
5.890486225480862,1.8749999999999998,-0.003828286831805735,-0.003924961542425658,-9.667471061992243e-05
