tag,target_kappaR,actual_kappaR,R,omega,kappa,A1,A2,A3,A4,A2_over_A1,amid_fundamental,left_right_amplitude_asymmetry,A2_quartic_local,A2_over_local_theory,phase_fit_rms
spp160,6.0,5.930744163977541,11.1328125,0.8462874708448075,0.5327264933257019,0.012464532064533605,-0.00015571380125985022,1.5639151543350071e-06,-1.4940770587713226e-08,-0.012492550899918334,0.21337531115072705,-7.241479279814968e-13,-0.00016194468535524865,0.9615246151380016,3.4938914123281435e-08
spp160,6.25,6.2428885936605685,11.71875,0.8462874708448075,0.5327264933257019,0.009328801512282938,-8.576243778365328e-05,6.974399804716643e-07,-1.0226303594882574e-08,-0.009193296445500806,0.18287880148237207,-7.257657066761301e-13,-8.738632945890377e-05,0.9814170970985321,3.379242946309146e-08
spp160,6.5,6.555033023343597,12.3046875,0.8462874708448075,0.5327264933257019,0.006947900182030263,-4.681387728210422e-05,1.6129862415338108e-07,-8.00597267912274e-09,-0.006737845400137084,0.15670667771034896,-7.314973999029345e-13,-4.711292235591298e-05,0.9936525891654601,3.259132135447852e-08
spp160,6.75,6.7111052381851115,12.59765625,0.8462874708448075,0.5327264933257019,0.005987744413911677,-3.44827909387246e-05,-5.0362560780648326e-08,-6.548650828544597e-09,-0.005758894928549174,0.14505895622724968,-7.337887659910059e-13,-3.459140666475522e-05,0.996860037318422,3.2265816685525245e-08
spp160,7.0,7.02324966786814,13.18359375,0.8462874708448075,0.5327264933257019,0.004437812187346148,-1.8635755850582512e-05,-3.586300794675426e-07,-3.548710230210992e-09,-0.004199311521952185,0.12431158284145576,-7.352421102934102e-13,-1.865676819347917e-05,0.9988737415462984,3.234186025126116e-08
spp160,7.25,7.1793218827096545,13.4765625,0.8462874708448075,0.5327264933257019,0.00381732469962392,-1.3692136431087932e-05,-4.364997101316563e-07,-2.355644166980366e-09,-0.0035868409183103735,0.11509297117837698,-7.383048145968126e-13,-1.3708351672361414e-05,0.9988171268390951,3.27049167955292e-08
spp160,7.5,7.491466312392682,14.0625,0.8462874708448075,0.5327264933257019,0.002820997949657805,-7.416268145253707e-06,-4.015628931361756e-07,-9.890523513105355e-10,-0.002628951979973371,0.09869780973771544,-7.40586934786124e-13,-7.413445355130468e-06,1.0003807662952942,3.3710432174946715e-08
spp160,7.75,7.803610742075711,14.6484375,0.8462874708448075,0.5327264933257019,0.0020821991714102452,-4.059141084287918e-06,-1.2414400185489114e-07,-8.038741639820342e-10,-0.0019494489960529167,0.08471013440924753,-7.442650215417256e-13,-4.0228284577322075e-06,1.0090266405682584,3.4555323063583734e-08
spp160,8.0,7.959682956917225,14.94140625,0.8462874708448075,0.5327264933257019,0.0017883015845136193,-3.019167378119033e-06,7.596727607688504e-08,-9.67175419872046e-10,-0.0016882875932474127,0.07851328098068762,-7.460921465145959e-13,-2.968674185303442e-06,1.0170086677297092,3.487856733059984e-08
spp160,8.25,8.271827386600254,15.52734375,0.8462874708448075,0.5327264933257019,0.0013184741991953417,-1.6875271352679095e-06,4.952735590186716e-07,-1.4073463100903372e-09,-0.0012799091072830998,0.06752807523499176,-7.472393710855563e-13,-1.6245291734026542e-06,1.0387792123999244,3.555988713429828e-08
