target_kappaR,actual_kappaR,delta,delta_over_pi,frozen_force_right,evolved_superposition_force_right,full_pair_force_right,frozen_power_left,evolved_superposition_power_left,full_pair_power_left,super_vs_frozen_force,pair_vs_super_force,pair_vs_frozen_force,super_vs_frozen_power,pair_vs_super_power,pair_vs_frozen_power
6.0,5.929535736275306,0.0,0.0,-0.012000616304128835,-0.011725178030133787,-0.012655443740292115,-1.794005838849862e-15,-6.238014797635753e-16,2.0920184055678496e-15,0.9770479892853267,1.0793391544049513,1.0545661505682824,nan,nan,nan
6.0,5.929535736275306,1.5707963267948966,0.5,0.00015616547182938784,1.4937139470996216e-05,-0.00041383921710140754,0.020034980994662947,0.019463323494582116,0.01935642202713214,0.09564943707476627,-27.705386155426115,-2.6500045897055307,0.971467030578511,0.9945075429959465,0.966131289682203
6.0,5.929535736275306,3.141592653589793,1.0,0.012935431667050995,0.012260557699661976,0.011109000146745608,1.7970108907860993e-15,0.00010876912626305963,7.5898754249642e-05,0.9478274877282951,0.9060762502713791,0.8588039759849951,nan,0.6977968552039282,nan
7.0,7.021818635062862,0.0,0.0,-0.004381252601239492,-0.004161802872656136,-0.004263421175197503,-8.557210038989571e-16,-4.2091109557260215e-16,-7.600758037353357e-17,0.9499116466096312,1.0244168947090262,0.9731055392677762,nan,nan,nan
7.0,7.021818635062862,1.5707963267948966,0.5,1.9994803883057735e-05,-5.989248082589437e-05,-0.00015496419513707214,0.006759285723943743,0.006405463863316856,0.006342344307256829,-2.9954022643174443,2.5873731226386893,-7.750223310186027,0.9476539570781085,0.990145982023019,0.9383157579491037
7.0,7.021818635062862,3.141592653589793,1.0,0.004495718777222175,0.00409825012597944,0.003947872490648211,8.568517531788722e-16,6.975969806303089e-05,6.372167373697178e-05,0.911589520844468,0.9633068673925094,0.8781404456725231,nan,0.9134453775788494,nan
8.0,7.958061119737911,0.0,0.0,-0.001778128486259725,-0.0016320861518635866,-0.0016467706311372808,-3.299127780144846e-16,-2.0954241979938136e-16,-1.5496071782114582e-16,0.9178673894914439,1.008997367728981,0.9261257799211382,nan,nan,nan
8.0,7.958061119737911,1.5707963267948966,0.5,4.707274076621486e-06,-3.881815953979772e-05,-6.27679983251302e-05,0.0026235410470232725,0.0024049528399172904,0.0023849770824487596,-8.246420095355562,1.6169751237375969,-13.334256154079766,0.9166819946064891,0.9916939088630038,0.9090679504156443
8.0,7.958061119737911,3.141592653589793,1.0,0.0017996067803722874,0.0015662273039452818,0.0015420128943697898,3.298075246065124e-16,4.4761981139842365e-05,4.388364787950837e-05,0.8703164052434132,0.9845396581233793,0.8568610160775184,nan,0.9803776946871505,nan
