kappaR_min,kappaR_max,n_points,mean_abs_relative_error_local_quartic,median_abs_relative_error_local_quartic,max_abs_relative_error_local_quartic,mean_ratio_A2_to_local_theory
6,10,16,0.024263781255063725,0.01569491723175087,0.06605967399355595,1.0142741517717773
6.5,9,10,0.019187395599889856,0.007465248149770898,0.06605967399355595,1.0161216722473223
7,8,5,0.005671107781686646,0.002030948667999577,0.015874099596848268,1.0038598853270733
7,8.5,7,0.01643053162557695,0.007953383175051565,0.0491487838977096,1.015136801300853
7,9,8,0.022634174421574324,0.011913741385949916,0.06605967399355595,1.021502160387441
