velocity,P_mean,P_std_phase,E_mean,E_std_phase,P_over_v
-0.04,-0.19161688536447324,0.00043068982451877405,4.78788261470982,0.0021071273368553967,4.790422134111831
-0.03,-0.14367669868831157,0.00036013447527866274,4.786174293934983,0.0021750646679876773,4.789223289610386
-0.02,-0.09576721997465218,0.00027344646613738796,4.784948794539702,0.0022893113296033898,4.788360998732609
-0.01,-0.047876532282705636,0.0001112385024980275,4.784194633188516,0.0026469420206053,4.787653228270564
0.01,0.047876532282705775,0.00011123850249853091,4.784194633188517,0.0026469420206056476,4.787653228270577
0.02,0.09576721997465226,0.00027344646613787884,4.784948794539702,0.0022893113296035,4.788360998732613
0.03,0.1436766986883115,0.00036013447527920083,4.786174293934984,0.002175064667987818,4.7892232896103835
0.04,0.19161688536447324,0.00043068982451928265,4.787882614709821,0.002107127336854649,4.790422134111831
